date,day_type,bus,rail_boardings,total_rides,transit_id,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,tzoffset,weather_id
2024-10-16,W,652964,462121,1115085,6562,1729054800,14.4,3.1,8.4,14.4,-0.3,6.7,-0.7,55.4,0.0,0.0,0.0,,0.0,0.0,37.8,19.9,327.8,1028.9,25.5,16.0,50.2,4.4,5.0,10.0,07:04:41,1729080281,18:06:37,1729119997,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,16
2024-10-17,W,650082,466090,1116172,5102,1729141200,18.2,3.1,10.5,18.2,1.2,9.9,-1.3,47.2,0.0,0.0,0.0,,0.0,0.0,36.3,19.1,201.5,1026.7,6.3,16.0,69.2,5.8,6.0,10.0,07:05:50,1729166750,18:05:04,1729206304,0.5,Clear,Clear conditions throughout the day.,clear-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,17
2024-10-18,W,627426,413404,1040830,8368,1729227600,20.4,6.6,13.4,20.4,5.3,12.9,0.4,42.7,0.0,0.0,0.0,,0.0,0.0,36.0,20.7,187.8,1029.7,5.3,16.0,65.8,5.7,6.0,10.0,07:07:00,1729253220,18:03:32,1729292612,0.54,Clear,Clear conditions throughout the day.,clear-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,18
2024-10-19,A,425987,354109,780096,2701,1729314000,22.0,7.7,14.6,22.0,6.8,14.5,3.4,49.0,0.0,0.0,0.0,,0.0,0.0,25.9,17.7,203.7,1030.7,20.6,16.0,66.0,5.7,6.0,10.0,07:08:09,1729339689,18:02:01,1729378921,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,19
2024-10-20,U,321239,239392,560631,4184,1729400400,25.7,10.5,17.7,25.7,10.5,17.7,3.7,41.8,0.0,0.0,0.0,,0.0,0.0,37.1,21.6,216.4,1026.0,0.0,16.0,62.8,5.4,5.0,10.0,07:09:19,1729426159,18:00:31,1729465231,0.61,Clear,Clear conditions throughout the day.,clear-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,20
2024-10-21,W,619582,403752,1023334,6276,1729486800,27.6,12.5,19.7,26.5,12.5,19.6,4.4,38.8,0.0,0.0,0.0,,0.0,0.0,35.3,20.3,213.4,1022.2,25.1,16.0,67.1,5.8,5.0,10.0,07:10:30,1729512630,17:59:02,1729551542,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,21
2024-10-22,W,642373,451887,1094260,6275,1729573200,23.1,12.4,18.5,23.1,12.4,18.5,5.6,43.6,0.068,100.0,8.33,['rain'],0.0,0.0,50.5,26.7,190.1,1015.9,67.8,16.0,24.6,2.0,2.0,10.0,07:11:40,1729599100,17:57:34,1729637854,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,22
2024-10-23,W,653689,461471,1115160,6448,1729659600,18.6,9.3,15.3,18.6,9.3,15.3,5.2,52.2,0.0,0.0,0.0,,0.0,0.0,40.7,25.3,305.2,1017.5,38.8,16.0,54.3,4.7,5.0,10.0,07:12:51,1729685571,17:56:06,1729724166,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,23
2024-10-24,W,654696,465121,1119817,7710,1729746000,17.9,5.2,12.0,17.9,3.9,11.7,1.8,52.4,0.0,0.0,0.0,,0.0,0.0,33.1,21.4,190.7,1020.3,34.9,16.0,53.6,4.6,6.0,10.0,07:14:02,1729772042,17:54:41,1729810481,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72534014819', '72212604879', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,24
2024-10-25,W,611655,408835,1020490,786,1729832400,19.4,9.8,13.5,19.4,7.8,13.4,7.1,67.7,18.564,100.0,37.5,['rain'],0.0,0.0,43.9,21.9,305.3,1019.1,66.8,14.8,49.6,4.2,5.0,10.0,07:15:14,1729858514,17:53:16,1729896796,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"['72534014819', '72212604879', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK', 'KIGQ']",obs,,25
2024-10-26,A,427475,296326,723801,3066,1729918800,14.2,6.8,9.9,14.2,4.4,9.0,-0.2,51.1,0.0,0.0,0.0,,0.0,0.0,37.1,19.9,358.7,1030.6,34.1,16.0,58.0,5.0,6.0,10.0,07:16:26,1729944986,17:51:52,1729983112,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,26
2024-10-27,U,312965,215594,528559,7699,1730005200,14.9,3.7,9.5,14.9,3.7,9.3,-0.1,54.0,0.0,0.0,0.0,,0.0,0.0,26.6,12.6,197.3,1027.8,29.6,16.0,48.9,4.2,6.0,10.0,07:17:38,1730031458,17:50:30,1730069430,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,27
2024-10-28,W,611041,389359,1000400,186,1730091600,19.3,6.9,13.4,19.3,5.1,12.7,1.9,46.7,0.0,0.0,0.0,,0.0,0.0,48.2,24.4,165.7,1019.5,69.3,16.0,41.2,3.6,3.0,10.0,07:18:50,1730117930,17:49:09,1730155749,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,28
2024-10-29,W,652674,444706,1097380,4747,1730178000,28.2,19.2,23.4,27.9,19.2,23.3,13.0,53.1,0.0,0.0,0.0,,0.0,0.0,59.6,38.4,200.1,1012.0,83.4,16.0,40.1,3.5,5.0,10.0,07:20:03,1730204403,17:47:49,1730242069,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,29
2024-10-30,W,657942,451915,1109857,3487,1730264400,26.8,20.5,23.1,27.0,20.5,23.1,13.4,55.0,0.0,0.0,0.0,,0.0,0.0,59.5,39.6,202.4,1014.2,76.5,16.0,39.9,3.3,3.0,10.0,07:21:16,1730290876,17:46:31,1730328391,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,30
2024-10-31,W,605292,425596,1030888,4230,1730350800,22.5,7.6,16.1,22.5,3.3,15.2,9.4,65.3,0.629,100.0,12.5,['rain'],0.0,0.0,73.5,39.5,230.8,1010.0,92.5,16.0,16.9,1.4,1.0,10.0,07:22:29,1730377349,17:45:14,1730414714,0.97,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,31
2024-11-01,W,618998,381782,1000780,5297,1730437200,12.0,4.2,7.6,12.0,1.7,5.8,0.4,61.3,0.0,0.0,0.0,,0.0,0.0,56.1,30.2,307.0,1024.7,29.7,16.0,56.1,4.9,6.0,10.0,07:23:42,1730463822,17:43:58,1730501038,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,32
2024-11-02,A,410559,281277,691836,8358,1730523600,14.2,4.3,8.9,14.2,2.0,8.1,2.2,64.6,0.0,0.0,0.0,,0.0,0.0,33.5,16.8,143.7,1028.4,45.7,16.0,47.5,4.1,5.0,10.0,07:24:56,1730550296,17:42:44,1730587364,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,33
2024-11-03,U,267845,227887,495732,1133,1730610000,18.1,10.6,13.9,18.1,10.6,13.9,5.4,57.0,0.696,100.0,8.33,['rain'],0.0,0.0,49.7,27.2,140.8,1018.5,97.7,16.0,11.2,1.1,1.0,10.0,06:26:09,1730636769,16:41:31,1730673691,0.08,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,34
2024-11-04,W,553515,383217,936732,5634,1730700000,20.5,17.7,18.8,20.5,17.7,18.8,16.2,84.7,8.832,100.0,45.83,['rain'],0.0,0.0,49.8,30.2,193.6,1010.7,99.0,13.9,8.4,0.8,0.0,10.0,06:27:23,1730723243,16:40:20,1730760020,0.11,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,35
2024-11-05,W,519574,379110,898684,4979,1730786400,19.7,16.6,18.2,19.7,16.6,18.2,16.2,87.9,27.928,100.0,66.67,['rain'],0.0,0.0,61.0,33.3,194.4,1006.1,95.4,12.9,8.6,0.8,1.0,10.0,06:28:37,1730809717,16:39:11,1730846351,0.15,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,36
2024-11-06,W,631969,427995,1059964,2680,1730872800,16.0,10.2,11.8,16.0,10.2,11.8,7.6,75.6,0.0,0.0,0.0,,0.0,0.0,31.7,16.8,310.1,1017.5,90.2,16.0,11.1,1.0,0.0,10.0,06:29:51,1730896191,16:38:03,1730932683,0.18,Overcast,Cloudy skies throughout the day.,cloudy,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,37
2024-11-07,W,644506,450680,1095186,8160,1730959200,15.5,7.0,10.9,15.5,6.7,10.1,3.3,60.5,0.0,0.0,0.0,,0.0,0.0,24.5,14.9,308.4,1026.0,33.3,16.0,43.9,3.8,5.0,10.0,06:31:05,1730982665,16:36:57,1731019017,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,38
2024-11-08,W,601808,396291,998099,4031,1731045600,17.2,6.7,11.4,17.2,4.8,10.8,3.6,61.1,0.0,0.0,0.0,,0.0,0.0,34.9,19.4,313.1,1024.9,30.3,16.0,47.7,4.3,5.0,10.0,06:32:19,1731069139,16:35:52,1731105352,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,39
2024-11-09,A,391070,288855,679925,8088,1731132000,12.9,8.6,11.0,12.9,6.5,10.5,5.4,68.4,2.968,100.0,20.83,['rain'],0.0,0.0,38.5,18.1,117.6,1022.6,81.4,15.7,14.0,1.3,1.0,10.0,06:33:33,1731155613,16:34:49,1731191689,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,40
2024-11-10,U,306889,232420,539309,1070,1731218400,17.1,9.8,12.5,17.1,7.6,12.3,8.6,78.1,3.047,100.0,20.83,['rain'],0.0,0.0,60.6,35.4,229.1,1010.4,92.4,12.9,33.2,2.9,3.0,10.0,06:34:48,1731242088,16:33:48,1731278028,0.32,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,41
2024-11-11,W,556273,358572,914845,2938,1731304800,14.5,7.3,11.0,14.5,4.2,10.1,3.8,61.8,0.0,0.0,0.0,,0.0,0.0,48.6,30.9,300.0,1014.4,58.9,16.0,46.3,3.9,5.0,10.0,06:36:02,1731328562,16:32:49,1731364369,0.36,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,42
2024-11-12,W,640199,437888,1078087,5018,1731391200,9.7,6.1,8.0,7.6,2.9,5.2,1.7,64.9,0.0,0.0,0.0,,0.0,0.0,38.9,25.2,78.0,1025.9,64.1,16.0,36.7,3.0,3.0,10.0,06:37:16,1731415036,16:31:51,1731450711,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,43
2024-11-13,W,633647,434362,1068009,496,1731477600,11.3,4.7,8.2,11.3,1.7,6.2,2.6,69.1,8.153,100.0,25.0,['rain'],0.0,0.0,41.4,24.8,129.3,1018.8,87.3,14.0,25.4,2.1,2.0,10.0,06:38:29,1731501509,16:30:56,1731537056,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,44
2024-11-14,W,620448,439564,1060012,1762,1731564000,12.2,9.2,10.9,12.2,7.4,10.6,8.9,87.8,4.385,100.0,29.17,['rain'],0.0,0.0,37.1,22.7,298.9,1010.0,99.9,10.7,12.4,1.1,1.0,10.0,06:39:43,1731587983,16:30:02,1731623402,0.46,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,45
2024-11-15,W,603141,397040,1000181,2875,1731650400,12.0,7.8,9.9,12.0,7.2,9.1,5.3,73.5,0.0,0.0,0.0,,0.0,0.0,24.1,11.6,308.4,1019.7,84.9,15.9,13.4,1.0,1.0,10.0,06:40:56,1731674456,16:29:10,1731709750,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,46
2024-11-16,A,399551,316374,715925,8258,1731736800,11.2,6.4,9.3,11.2,5.7,8.5,4.1,70.1,0.0,0.0,0.0,,0.0,0.0,44.4,22.5,162.1,1019.1,91.3,15.9,23.2,1.9,1.0,10.0,06:42:10,1731760930,16:28:21,1731796101,0.53,Overcast,Cloudy skies throughout the day.,cloudy,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,47
2024-11-17,U,308995,233733,542728,3709,1731823200,15.4,8.1,11.6,15.4,6.0,10.7,7.8,77.6,0.24,100.0,16.67,['rain'],0.0,0.0,38.9,19.8,212.4,1013.4,86.4,15.8,29.2,2.5,2.0,10.0,06:43:22,1731847402,16:27:33,1731882453,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,48
2024-11-18,W,565097,383053,948150,3991,1731909600,15.8,10.3,13.0,15.8,10.3,13.0,11.3,89.7,9.245,100.0,29.17,['rain'],0.0,0.0,51.0,30.3,119.1,1010.7,95.0,8.6,6.8,0.5,0.0,10.0,06:44:35,1731933875,16:26:47,1731968807,0.59,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,49
2024-11-19,W,639269,439683,1078952,3215,1731996000,17.6,9.0,14.9,17.6,7.2,14.8,9.8,71.9,2.692,100.0,20.83,['rain'],0.0,0.0,57.6,33.0,214.2,1002.0,69.2,15.0,25.6,2.2,2.0,10.0,06:45:47,1732020347,16:26:03,1732055163,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,50
2024-11-20,W,625498,428958,1054456,6075,1732082400,9.6,1.0,5.9,7.4,-4.6,2.1,-0.7,64.2,0.583,100.0,12.5,['rain'],0.0,0.0,61.1,40.5,267.5,1009.1,84.7,14.8,32.4,2.9,2.0,10.0,06:46:59,1732106819,16:25:22,1732141522,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,51
2024-11-21,W,539977,414493,954470,3519,1732168800,4.2,-0.8,1.4,0.3,-6.9,-3.9,-1.7,80.4,3.725,100.0,50.0,"['rain', 'snow']",10.1,2.0,56.5,36.5,298.7,1006.9,95.6,10.9,7.7,0.8,0.0,10.0,06:48:10,1732193290,16:24:42,1732227882,0.69,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"['72534014819', '72212604879', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,52
2024-11-22,W,583958,431451,1015409,2159,1732255200,8.7,2.5,6.4,5.6,-1.0,3.0,2.5,76.2,0.0,0.0,0.0,,0.0,0.0,44.3,27.0,320.5,1015.1,94.4,16.0,18.7,1.7,1.0,10.0,06:49:20,1732279760,16:24:05,1732314245,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,53
2024-11-23,A,384030,340935,724965,4498,1732341600,6.4,3.7,5.0,3.4,0.4,2.0,1.2,76.2,0.0,0.0,0.0,,0.0,0.0,33.1,17.1,266.2,1017.2,99.5,16.0,21.0,1.8,1.0,10.0,06:50:30,1732366230,16:23:30,1732400610,0.76,Overcast,Cloudy skies throughout the day.,cloudy,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,54
2024-11-24,U,301518,222021,523539,1666,1732428000,11.3,3.2,7.3,11.3,0.2,6.0,3.2,75.7,0.0,0.0,0.0,,0.0,0.0,38.9,17.5,146.8,1013.0,95.5,14.9,29.0,2.4,2.0,10.0,06:51:40,1732452700,16:22:57,1732486977,0.79,Overcast,Cloudy skies throughout the day.,cloudy,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,55
2024-11-25,W,512387,344627,857014,7986,1732514400,11.6,3.7,9.1,11.6,-1.2,7.6,4.8,74.6,0.0,0.0,0.0,,0.0,0.0,48.9,27.0,299.4,1011.4,98.6,15.0,9.5,0.7,1.0,10.0,06:52:48,1732539168,16:22:26,1732573346,0.82,Overcast,Cloudy skies throughout the day.,cloudy,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,56
2024-11-26,W,518470,356826,875296,6138,1732600800,4.2,-3.0,1.1,1.1,-8.2,-3.2,-6.7,56.9,0.0,0.0,0.0,,0.0,0.0,42.6,28.2,263.5,1020.7,49.4,16.0,39.5,3.5,2.0,10.0,06:53:56,1732625636,16:21:58,1732659718,0.85,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,57
2024-11-27,W,477247,308919,786166,6924,1732687200,6.3,2.5,4.1,6.3,-0.7,2.2,-3.0,60.5,0.0,0.0,0.0,,0.0,0.0,37.1,25.6,37.5,1013.5,96.5,16.0,20.2,1.7,1.0,10.0,06:55:03,1732712103,16:21:31,1732746091,0.89,Overcast,Cloudy skies throughout the day.,cloudy,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,-6.0,58
